name,price,url,image,bedrooms,sqft,address,city,state,zip
"300 Summer St Apt 62, Boston, MA 02210",523793,https://www.realtor.com/realestateandhomes-detail/300-Summer-St-Apt-62_Boston_MA_02210_M90447-39863,https://ap.rdcpix.com/c992713d11f1c3fdd375bbedb2842e79l-m2939315301od-w480_h480_q80.jpg,2,1557,300 Summer St Apt 62,Boston,MA,02210
"25 Addington Rd, Boston, MA 02132",685000,https://www.realtor.com/realestateandhomes-detail/25-Addington-Rd_Boston_MA_02132_M30120-68637,https://ap.rdcpix.com/5fdedb8d9f4636980353b7292736319al-m911416933od-w480_h480_q80.jpg,4,1479,25 Addington Rd,Boston,MA,02132
"39 Hancock St, Boston, MA 02114",5995000,https://www.realtor.com/realestateandhomes-detail/39-Hancock-St_Boston_MA_02114_M49720-03352,https://ap.rdcpix.com/0711ad284ccdd5cc04f54cf3ad278887l-w16798973od-w480_h480_q80.jpg,5,5177,39 Hancock St,Boston,MA,02114
"107 West St, Boston, MA 02136",470000,https://www.realtor.com/realestateandhomes-detail/107-West-St_Boston_MA_02136_M45670-57099,https://ap.rdcpix.com/fcd3f7febefe8494afbdebe20e1a0a5dl-m154631358od-w480_h480_q80.jpg,4,2156,107 West St,Boston,MA,02136
"34-36 Juniper St Unit 3, Roxbury, MA 02119",579000,https://www.realtor.com/realestateandhomes-detail/34-36-Juniper-St-Unit-3_Roxbury_MA_02119_M95336-61774,https://ap.rdcpix.com/0543eb621484bfe5fe80586c57a0854cl-m2916997775od-w480_h480_q80.jpg,2,1240,34-36 Juniper St Unit 3,Roxbury,MA,02119
"79-81 Rossmore Rd Unit 3, Boston, MA 02130",749000,https://www.realtor.com/realestateandhomes-detail/79-81-Rossmore-Rd-Unit-3_Boston_MA_02130_M98346-41836,https://ap.rdcpix.com/60a83e077ee7cdb1c96bc4a7623bc233l-m3623417627od-w480_h480_q80.jpg,3,1146,79-81 Rossmore Rd Unit 3,Boston,MA,02130
"99 Brookley Rd Apt 3, Boston, MA 02130",949000,https://www.realtor.com/realestateandhomes-detail/99-Brookley-Rd-Apt-3_Boston_MA_02130_M96051-07387,https://ap.rdcpix.com/018ec779439c5d836488494d4a5f7213l-m1686017590od-w480_h480_q80.jpg,3,1372,99 Brookley Rd Apt 3,Boston,MA,02130
"22 Alaska St, Boston, MA 02119",1175000,https://www.realtor.com/realestateandhomes-detail/22-Alaska-St_Boston_MA_02119_M44591-56972,https://ap.rdcpix.com/125255acec84400f8a3bb0b13ebdf9d9l-m3605589445od-w480_h480_q80.jpg,6,3018,22 Alaska St,Boston,MA,02119
"78 Park St, Boston, MA 02132",999000,https://www.realtor.com/realestateandhomes-detail/78-Park-St_Boston_MA_02132_M40124-84237,https://ap.rdcpix.com/d9ecb16358c6980f22de7a4eda8567bfl-m92131090od-w480_h480_q80.jpg,8,3674,78 Park St,Boston,MA,02132
"132 Chelsea St, Boston, MA 02128",1199900,https://www.realtor.com/realestateandhomes-detail/132-Chelsea-St_East-Boston_MA_02128_M94452-20868,https://ap.rdcpix.com/9ee635442e8e2f966b871dab5d0deecfl-m2512887864od-w480_h480_q80.jpg,8,2800,132 Chelsea St,Boston,MA,02128
